Cultural_Ethnic_Group_Key,Group_Code,Cultural_Ethnic_Group,Cultural_Ethnic_Group_Date
b2206c5e84c1acd0df202ca8fbe9b43a,8202,Bolivian,2024-07-11
3babb5921d729e4f337f58dd0282b45d,8203,Brazilian,2024-07-11
0db3b312b9a638754996948b8a8caa95,8204,Chilean,2024-07-11
469f609064c12625ec8ab538bf6ba680,8205,Colombian,2024-07-11
2d200eb4d381482bfb40795c0375ac63,8206,Ecuadorian,2024-07-11
5c9c54f09542c8ebce3b44c7d74ac257,8207,Guyanese,2024-07-11
e520fce126067555fcaeb59a311c919f,8208,Peruvian,2024-07-11
d21c2a3bf7627f1b609e30e4f959213e,8211,Uruguayan,2024-07-11
63b722bb39165ac29631c36e604e51d9,8212,Venezuelan,2024-07-11
4768da5bd8debeae368038d5883fa9c9,8213,Paraguayan,2024-07-11
f0d6240fb1cec2e29e1c8387bdc4d587,8299,"South American, nec",2024-07-11
a0e769d8cf822e90ab2ef625b7c0946a,8301,Mexican,2024-07-11
5e8a59f9d45fc7af8821a7cf6b7adba8,8302,Nicaraguan,2024-07-11
b03a0d37e94acd28d37da5b225464bdc,8303,Salvadoran,2024-07-11
c7a08ef34f0cb1647414ba4dfe26c22f,8304,Costa Rican,2024-07-11
b596ffbfb72c7af69353d0ed0de1e3ce,8305,Guatemalan,2024-07-11
b3387b32efab632f095f1c7d3a9053ce,8306,Mayan,2024-07-11
cfa6e8d302f0f61e23f15e3840274e76,8399,"Central American, nec",2024-07-11
7390ff305f195228a44e5419b5dac448,8401,Cuban,2024-07-11
caf63a12ac2cd1cc1deddd1184b1b9d0,8402,Jamaican,2024-07-11
f45d3d6ad61c206d9138dc0baa8ab36f,8403,Trinidadian Tobagonian,2024-07-11
effff7fa62ce5f7f33ac1c5b7ae999ea,8404,Barbadian,2024-07-11
975ffcc8645b8ed2627f0df3c124ed95,8405,Puerto Rican,2024-07-11
586b5176c23c029bc28ba692548cffb0,8499,"Caribbean Islander, nec",2024-07-11
dd43cea2c41a54cc65368193e2343bf9,9101,Akan,2024-07-11
f7e5ee46d26a7ab99e0441dc3981cfdf,9102,Fulani,2024-07-11
d0ef14d82f3fc3bb1bd6e34786b93ec9,9103,Ghanaian,2024-07-11
e2f4de9acb09eaa5bd699e149e2d33d3,9104,Nigerian,2024-07-11
ce9ff4c0410d35afbc2206ab23c8759d,9105,Yoruba,2024-07-11
29495481a7aa005085753d609e31aa16,9106,Ivorean,2024-07-11
0b255727e422789446b2b8242f5fa7bb,9107,Liberian,2024-07-11
eeeb8e9b623e7d1f45ad0c24f4b6595c,9108,Sierra Leonean,2024-07-11
2cf22a184f6948ef2b745cd511c7c9b2,9111,Acholi,2024-07-11
ec4043fd0c88a0ac9057b741c6baa0e2,9112,Cameroonian,2024-07-11
8944b6481d4684e813461b0db0ecc754,9113,Congolese,2024-07-11
f4e1d215f2df0639c0bdbd37bb54c68d,9114,Gio,2024-07-11
c555b579aa262e92dbdf0fed7f7638ee,9115,Igbo,2024-07-11
b39c7fb1e074cee5831e14ec2c33a88d,9116,Krahn,2024-07-11
581a88efe031c90a0de547e14854764b,9117,Mandinka,2024-07-11
1fd195fe115e0e10a1cd916bce40d369,9118,Senegalese,2024-07-11
79e04b8ce22a93560032d7c89dc86800,9121,Themne,2024-07-11
7c7c0ea4a01053956d29b65c3b413513,9122,Togolese,2024-07-11
