key,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016
751f879c2408105e969d31617d31fbf5,12103,Ku-ring-gai,121,Sydney - North Sydney and Hornsby,1GSYD,Greater Sydney,1,New South Wales
e4db4fc1ef9ae443ced49d00f2192445,11101,Lake Macquarie - East,111,Newcastle and Lake Macquarie,1RNSW,Rest of NSW,1,New South Wales
52c4608c2f126708211b9e0a60eaf050,11102,Lake Macquarie - West,111,Newcastle and Lake Macquarie,1RNSW,Rest of NSW,1,New South Wales
fb25b181bed28630afa6c026a6ed31fe,11103,Newcastle,111,Newcastle and Lake Macquarie,1RNSW,Rest of NSW,1,New South Wales
ba01e0390d0c58ab871d3fd682bbf613,12101,Chatswood - Lane Cove,121,Sydney - North Sydney and Hornsby,1GSYD,Greater Sydney,1,New South Wales
f6bc0623a4ab517ae89db46f368c09c4,12002,Leichhardt,120,Sydney - Inner West,1GSYD,Greater Sydney,1,New South Wales
c7499d9bd5b50edda0c648e455bc5bc1,12703,Liverpool,127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales
9352d6848d5f8868810d431499d34639,12403,Penrith,124,Sydney - Outer West and Blue Mountains,1GSYD,Greater Sydney,1,New South Wales
75c6b2d6319e12f37ff421834ad22fa8,10604,Upper Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales
853b722222dd0e45a9f94f2c799c949d,12201,Manly,122,Sydney - Northern Beaches,1GSYD,Greater Sydney,1,New South Wales
239786e7cc274460b889c47f6dcdc2f3,11702,Marrickville - Sydenham - Petersham,117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales
fa14ace7b3ae2d7e7ee6f1bc3129fbec,11703,Sydney Inner City,117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales
2976a6e4f9f094965adb965397c96dcf,12104,North Sydney - Mosman,121,Sydney - North Sydney and Hornsby,1GSYD,Greater Sydney,1,New South Wales
38298f3cad250b58051bda2c11721e56,12405,St Marys,124,Sydney - Outer West and Blue Mountains,1GSYD,Greater Sydney,1,New South Wales
8ae7733f9bc11275e8d0a0fdabe5be0a,12202,Pittwater,122,Sydney - Northern Beaches,1GSYD,Greater Sydney,1,New South Wales
87736972ed2fb48230f1052699dedbe7,12203,Warringah,122,Sydney - Northern Beaches,1GSYD,Greater Sydney,1,New South Wales
153e7487e891837a34233c390e64c710,11802,Eastern Suburbs - South,118,Sydney - Eastern Suburbs,1GSYD,Greater Sydney,1,New South Wales
fec3392b0dc073244d38eba1feb8e6b7,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,1GSYD,Greater Sydney,1,New South Wales
bc786a7e5492c8c5c3e3d9d1b9ba3ec0,12801,Cronulla - Miranda - Caringbah,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales
93c6cea607715faa19391e37c48fac33,12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales
c24c65259d90ed4a19ab37b6fd6fe716,11203,Tweed Valley,112,Richmond - Tweed,1RNSW,Rest of NSW,1,New South Wales
e2c2ff9c7fb57db574e461fbe467d84e,10702,Illawarra Catchment Reserve,107,Illawarra,1RNSW,Rest of NSW,1,New South Wales
d9b993256f4573d37b1cdc50ea3528d8,12303,Wollondilly,123,Sydney - Outer South West,1GSYD,Greater Sydney,1,New South Wales
532a082cc38eaffa923d73bce41b4061,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales
6a971e08a01e6676d0f1a6e0dacbbd67,10803,Lord Howe Island,108,Mid North Coast,1RNSW,Rest of NSW,1,New South Wales
b142673328a0419db9725adb9db18123,19797,Migratory - Offshore - Shipping (NSW),197,Migratory - Offshore - Shipping (NSW),19799,Migratory - Offshore - Shipping (NSW),1,New South Wales
1b0e7baae0b3154624caf0cfb717eda3,29999,No usual address (Vic.),299,No usual address (Vic.),29499,No usual address (Vic.),2,Victoria
855069bb71cd6f6a49cbbd27f89605e3,20403,Wodonga - Alpine,204,Hume,2RVIC,Rest of Vic.,2,Victoria
12af59cd7f4ef7a1bd550a800e703af4,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria
a8d97425b65357ac228b9e2015df4e3a,20103,Maryborough - Pyrenees,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria
93960d5fb44e9016051aac44fb34f9f6,21704,Warrnambool,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria
64590d156b97b39b8015a7f506a67af2,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria
b6d6956cc1fc1e8fb824782187fb6b09,20102,Creswick - Daylesford - Ballan,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria
46b315dd44d174daf5617e22b3ac94ca,20901,Banyule,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria
0e639653c10d1353dfbc8e4a14df280e,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria
deb65aba94010f86959e5f2fcd90da51,20501,Baw Baw,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria
714aeac233808ffb2b01e3910edff2bc,20504,Latrobe Valley,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria
5fb06a76a31a6e7ecb2d6f766dcf33b0,20801,Bayside,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria
711dd708aad881a73d957f604eac03f9,20402,Wangaratta - Benalla,204,Hume,2RVIC,Rest of Vic.,2,Victoria
a8149e933827a24078cb09b1815ddea5,20401,Upper Goulburn Valley,204,Hume,2RVIC,Rest of Vic.,2,Victoria
6aa020e879ccd33affde6c1b1af4bb2f,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria
3315588acf14179de8e0b2cd9285407f,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria
88275708422d0942423446f76b49e8fb,21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria
dce5fd0af5a80cf7d2da04f13df700a0,21503,Murray River - Swan Hill,215,North West,2RVIC,Rest of Vic.,2,Victoria
ebd9cbfb90ae6a1daeefe91a4cfaa518,21601,Campaspe,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria
1aebc7e51e61a787aa2d3419a3a96ae0,21201,Cardinia,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria
28fd3872c62aad371e8b21061f1a35bd,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria
ecbd4df986ebf85c8a2873572e804803,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria
fff75f52998a477f6e7b00e58af8d64a,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria
e240f783de5c9ea54f362c8f65d6eb69,20202,Heathcote - Castlemaine - Kyneton,202,Bendigo,2RVIC,Rest of Vic.,2,Victoria
3bdc5ed6ff858caa0570f4910fa1d8d7,21703,Colac - Corangamite,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria
ed1dac006b5ef6170e646d7eb9ee2d1a,21701,Glenelg - Southern Grampians,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria
286b0b3ea509af1aeff6bb47299d96d7,20602,Darebin - South,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria
4c282b63af1250f5eefa438174941e8d,20902,Darebin - North,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria
47ea4fca48eeb134e38df837a620c2c9,20502,Gippsland - East,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria
f0f68749983c98403d5954cd5e0b7b30,20505,Wellington,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria
f9a78afdf5be220d8779569e5155eab1,21401,Frankston,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria
4129fc24b709a042692db1d3db0328b7,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria
c5941be9c01b6fb6468639d5f03af022,20301,Barwon - West,203,Geelong,2RVIC,Rest of Vic.,2,Victoria
d683533d66f266d524cbf68d5df0ee9c,20201,Bendigo,202,Bendigo,2RVIC,Rest of Vic.,2,Victoria
701df7b874ea6eae443cb81e9e069735,20203,Loddon - Elmore,202,Bendigo,2RVIC,Rest of Vic.,2,Victoria
3bd80cc75f3bee69358296a3c4d8f01e,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria
97075b09bc8da2c6efe5649a72a8c43f,20302,Geelong,203,Geelong,2RVIC,Rest of Vic.,2,Victoria
a706b4d72de0eae9e9682f3ba03adfd7,20303,Surf Coast - Bellarine Peninsula,203,Geelong,2RVIC,Rest of Vic.,2,Victoria
c828991bf51544cf79c2141168c359c7,21603,Shepparton,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria
7162d34e551d232ae0976c0dda4e107a,21302,Hobsons Bay,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria
3a909674b845c826ecccfbe8a42247f6,21305,Wyndham,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria
1facae6326242d7a0a2139b08546ec58,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria
fada60ac427a94ddc93f9554c523f402,21004,Sunbury,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria
08a060a61b90a099b277ce6a1982dfbb,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria
6fa49450b98696c6c042357d73674657,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria
86686c6057489287cb609e4f81f3e1b3,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria
