SA2_SUA_Key,SA2_MAINCODE_2016,SA2_5DIGITCODE_2016,SA2_NAME_2016,SUA_CODE_2016,SUA_NAME_2016,SA2_SUA_Date
f40627f0fc23d0efa502a1a2165567cc,117021326,11326,Marrickville,1030,Sydney,2024-07-10
8025af1b07b841a853ffe2653b8fa2da,117021327,11327,Petersham - Stanmore,1030,Sydney,2024-07-10
fc98c0107cdf63d428ee218d83655073,117021328,11328,Sydenham - Tempe - St Peters,1030,Sydney,2024-07-10
758e598aebdf8cae8932378e7b942c63,117031329,11329,Darlinghurst,1030,Sydney,2024-07-10
bcdd9dd79501e1d2c175d39449a06c85,117031330,11330,Erskineville - Alexandria,1030,Sydney,2024-07-10
8171fbc0b944a5d343ecbd8439267612,117031331,11331,Glebe - Forest Lodge,1030,Sydney,2024-07-10
4f9472b3949464231172aa62cd48d020,117031332,11332,Newtown - Camperdown - Darlington,1030,Sydney,2024-07-10
419ec01ad84d2fdf5346fa9679cbcd68,117031333,11333,Potts Point - Woolloomooloo,1030,Sydney,2024-07-10
cfbc257b5c637c5b721897164c70ccf7,117031334,11334,Pyrmont - Ultimo,1030,Sydney,2024-07-10
31342a967bb15899b7750c49e3bc2230,117031335,11335,Redfern - Chippendale,1030,Sydney,2024-07-10
cbbd59801ff728c0235270d0c9db8718,117031336,11336,Surry Hills,1030,Sydney,2024-07-10
1bd92a1431f095149da92ba3cb281e64,117031337,11337,Sydney - Haymarket - The Rocks,1030,Sydney,2024-07-10
90fd9a4aac3f9fd42a24ea62ab103c53,117031338,11338,Waterloo - Beaconsfield,1030,Sydney,2024-07-10
2200473f98ee0e0130fb4ca2721c5b4d,118011339,11339,Bondi - Tamarama - Bronte,1030,Sydney,2024-07-10
12e09ed5fcf8897e65a38d68426a4a1e,118011340,11340,Bondi Beach - North Bondi,1030,Sydney,2024-07-10
f113b2eb8f9f18c8c917d11908b89f3d,118011341,11341,Bondi Junction - Waverly,1030,Sydney,2024-07-10
41aeb6a907827a9da3a36f9627b39c81,118011342,11342,Centennial Park,1030,Sydney,2024-07-10
18f257c12e1872517a14a276bc5f45e9,118011343,11343,Double Bay - Bellevue Hill,1030,Sydney,2024-07-10
bb186f8e8059e0ce0fd982e4f4feacac,118011344,11344,Dover Heights,1030,Sydney,2024-07-10
1fbc69a859b7cfd3c6c3656d66dcd670,118011345,11345,Paddington - Moore Park,1030,Sydney,2024-07-10
ab04b6d8c9b411696409b5e3fa396cff,118011346,11346,Rose Bay - Vaucluse - Watsons Bay,1030,Sydney,2024-07-10
02a074d6a43ff2d84ea17ce49bc9b605,118011347,11347,Woollahra,1030,Sydney,2024-07-10
5c66e922a89170c4148ac999a77c5fb8,118021348,11348,Coogee - Clovelly,1030,Sydney,2024-07-10
9f48e7dbafb1ecbd61de3786a0473e02,118021350,11350,Malabar - La Perouse - Chifley,1030,Sydney,2024-07-10
3c397a2ae42f3011ef6ca7ee07ed6025,118021564,11564,Kensington (NSW),1030,Sydney,2024-07-10
f4e11128ecdbef1d112d222199295abf,118021565,11565,Kingsford,1030,Sydney,2024-07-10
f693e017970f5e5aa02f19ce68248d1d,118021566,11566,Maroubra - North,1030,Sydney,2024-07-10
ddcd0d85b050c4da1b0c679a944ef4db,118021567,11567,Maroubra - South,1030,Sydney,2024-07-10
85a69ec0c9a953c28f66931fe1dce113,118021568,11568,Maroubra - West,1030,Sydney,2024-07-10
7c24e916dad8f4dc59fc2f4455e97830,118021569,11569,Randwick - North,1030,Sydney,2024-07-10
cfe3926ef32478305e3a895e07c26ecc,118021570,11570,Randwick - South,1030,Sydney,2024-07-10
07077ae65615c4699be78f948b7a8a20,119011354,11354,Bass Hill - Georges Hall,1030,Sydney,2024-07-10
488242e9ae66cea40de7c9be1beededa,119011355,11355,Chullora,1030,Sydney,2024-07-10
748f6619eff3df6109b27af162d84fe8,119011356,11356,Condell Park,1030,Sydney,2024-07-10
4a64293ebcc9cb449ef3fbb681379ca4,119011357,11357,Greenacre - Mount Lewis,1030,Sydney,2024-07-10
6e46f5effde03ae5826966b9a4ec6d92,119011358,11358,Padstow,1030,Sydney,2024-07-10
c9a2248bbf0bd64a2b016d4d48b5548e,119011359,11359,Panania - Milperra - Picnic Point,1030,Sydney,2024-07-10
c8e947cb884964ad35f9501ed34b1b53,119011360,11360,Revesby,1030,Sydney,2024-07-10
f8dc9b681d1c5b7b8d5a1caeead6d2b4,119011361,11361,Yagoona - Birrong,1030,Sydney,2024-07-10
1e7202278c96cb87b76c3537be7bd184,119011571,11571,Bankstown - North,1030,Sydney,2024-07-10
c3d74ddd5604409985def1fe4b41a3e1,119011572,11572,Bankstown - South,1030,Sydney,2024-07-10
f31d96980e602daf8e46f18c94a94e90,119021362,11362,Belmore - Belfield,1030,Sydney,2024-07-10
6cc0872e6ed54050bad66a6a876640ab,119021363,11363,Canterbury (South) - Campsie,1030,Sydney,2024-07-10
b57538e8ba398c711a44119f37bc6221,119021364,11364,Kingsgrove (North) - Earlwood,1030,Sydney,2024-07-10
995d5bc3088613af5bd85eb005fa5e34,119021366,11366,Punchbowl,1030,Sydney,2024-07-10
149cc26fd707fe79d0fb021e173c866b,119021367,11367,Roselands,1030,Sydney,2024-07-10
34c6772aa5ccf1647dd744049d8cad41,119021573,11573,Lakemba,1030,Sydney,2024-07-10
8002fbab85759e779225c75091c385ad,119021574,11574,Wiley Park,1030,Sydney,2024-07-10
b498d0024e5ddc472aeff7e56df6736b,119031368,11368,Hurstville,1030,Sydney,2024-07-10
f76f90f351ffedabff001d8bcd7d1dac,119031369,11369,Mortdale - Penshurst,1030,Sydney,2024-07-10
05e63790f7e3ddccdd89688f1ea9c6c3,119031370,11370,Narwee - Beverly Hills,1030,Sydney,2024-07-10
260865ab70b33135e7590152ceb1227f,119031371,11371,Oatley - Hurstville Grove,1030,Sydney,2024-07-10
a46f911584f6edc362e4aefa60890af8,119031372,11372,Peakhurst - Lugarno,1030,Sydney,2024-07-10
54d5707d23087cde729fbe4056a0c32b,119031373,11373,Riverwood,1030,Sydney,2024-07-10
3e17fb202abe18d2d090c534e6838d48,119031374,11374,South Hurstville - Blakehurst,1030,Sydney,2024-07-10
7509922560ae0e93638b8a61a225d267,119041375,11375,Arncliffe - Bardwell Valley,1030,Sydney,2024-07-10
2bf2cd675fe607ffc60ab6595ee13dec,119041376,11376,Bexley,1030,Sydney,2024-07-10
cf8d49e527af13cc03b497de8b3868c4,119041377,11377,Kingsgrove (South) - Bardwell Park,1030,Sydney,2024-07-10
09a2511a3a9de35f917894a9471aa71a,119041378,11378,Kogarah,1030,Sydney,2024-07-10
d5ca1a795bd2becac79988f3af32a9f9,119041379,11379,Kogarah Bay - Carlton - Allawah,1030,Sydney,2024-07-10
d07416ed36244e6fc3c84203d26e8d5c,119041380,11380,Monterey - Brighton-le-Sands - Kyeemagh,1030,Sydney,2024-07-10
7e849f31542e131c606f16724795293e,119041381,11381,Rockdale - Banksia,1030,Sydney,2024-07-10
94c78103be2f39db37788eab15721592,119041382,11382,Sans Souci - Ramsgate,1030,Sydney,2024-07-10
1b1e4d2eccb394a6a99404149a0b7c52,120011383,11383,Concord - Mortlake - Cabarita,1030,Sydney,2024-07-10
586c21c0448c46aad435c71edb4ca83b,120011384,11384,Concord West - North Strathfield,1030,Sydney,2024-07-10
90b5c193471f064201f24f015650bde2,120011385,11385,Drummoyne - Rodd Point,1030,Sydney,2024-07-10
3c69ec8635bbaaa1e7e2c2e815abecd5,120011386,11386,Five Dock - Abbotsford,1030,Sydney,2024-07-10
c60a71c52667c2fdcd3365679e1834b8,120021387,11387,Balmain,1030,Sydney,2024-07-10
6c3d64375f0000b006d03e8c335e99b4,120021388,11388,Leichhardt - Annandale,1030,Sydney,2024-07-10
c0d96f2948371a47fe03b501c3b43f9d,120021389,11389,Lilyfield - Rozelle,1030,Sydney,2024-07-10
c17132b1f8e02d717fef985a08017481,120031390,11390,Ashfield,1030,Sydney,2024-07-10
c6d536973cf8d28e3a872b43d08e3c82,120031391,11391,Burwood - Croydon,1030,Sydney,2024-07-10
d5c9a89d27f82ef9a935d9cffd064733,120031392,11392,Canterbury (North) - Ashbury,1030,Sydney,2024-07-10
d63ad66ebc87362908d5a1093e4ba50d,120031393,11393,Croydon Park - Enfield,1030,Sydney,2024-07-10
7c338a11d01da13c2876c58b7b39ef2d,120031394,11394,Dulwich Hill - Lewisham,1030,Sydney,2024-07-10
a8477fd8e5fd66b11df45bf7af0af35e,120031395,11395,Haberfield - Summer Hill,1030,Sydney,2024-07-10
55e0b728a2a21e0cf89e954242bc62d1,120031396,11396,Homebush,1030,Sydney,2024-07-10
598b3689e3c9d1ff47520ddf92200131,120031575,11575,Strathfield,1030,Sydney,2024-07-10
c78ba52bae55ed55c8bcfbaff64b18d6,120031576,11576,Strathfield South,1030,Sydney,2024-07-10
7f802c370208211a953357c17c79b777,121011398,11398,Chatswood (East) - Artarmon,1030,Sydney,2024-07-10
7d086a11281ecb3b492f9b88c42be77d,121011399,11399,Chatswood (West) - Lane Cove North,1030,Sydney,2024-07-10
6b401f4a60f629ea7b8a712e99dbaf27,121011400,11400,Lane Cove - Greenwich,1030,Sydney,2024-07-10
3fda51d7129dbbc364fed2a6525e7660,121011401,11401,St Leonards - Naremburn,1030,Sydney,2024-07-10
36ed26e1e40e16f85e56567bbe8f3b49,121011402,11402,Willoughby - Castle Cove - Northbridge,1030,Sydney,2024-07-10
ceae305b5696c255405c70c5e1012cde,121021403,11403,Asquith - Mount Colah,1030,Sydney,2024-07-10
4e8098d89a9cb1d2441500336c5c384b,121021404,11404,Berowra - Brooklyn - Cowan,1030,Sydney,2024-07-10
f2517a9b05dc56e7ae345efb5dd64b2d,121021406,11406,Normanhurst - Thornleigh - Westleigh,1030,Sydney,2024-07-10
3a00a23708b6774f89dba9ef20a29322,121021577,11577,Hornsby - East,1030,Sydney,2024-07-10
be5eb40c1d5720630a621716f9791746,121021578,11578,Hornsby - West,1030,Sydney,2024-07-10
90af213721543db91919059f531a3246,121021579,11579,Waitara - Wahroonga (West),1030,Sydney,2024-07-10
0e87e70e6b5d8002ec703b270da647b3,121031407,11407,Gordon - Killara,1030,Sydney,2024-07-10
d9d166f6472ba844349718b1963551b5,121031408,11408,Lindfield - Roseville,1030,Sydney,2024-07-10
3a0feed39e44f4842c50f94ee9146098,121031409,11409,Pymble,1030,Sydney,2024-07-10
00d83b036d1dab408c45c2fa05bd8872,121031410,11410,St Ives,1030,Sydney,2024-07-10
70397d24f251460206b2048451b9def4,121031411,11411,Turramurra,1030,Sydney,2024-07-10
