SA4_Key,SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,SA4_Date
5ef059938ba799aaa845e1c2e8a762bd,118,Sydney - Eastern Suburbs,1GSYD,Greater Sydney,1,2024-07-11
76dc611d6ebaafc66cc0879c71b5db5c,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,2024-07-11
85d8ce590ad8981ca2c8286f79f59954,197,Migratory - Offshore - Shipping (NSW),19799,Migratory - Offshore - Shipping (NSW),1,2024-07-11
ef0d3930a7b6c95bd2b32ed45989c61f,299,No usual address (Vic.),29499,No usual address (Vic.),2,2024-07-11
274ad4786c3abca69fa097b85867d9a4,204,Hume,2RVIC,Rest of Vic.,2,2024-07-11
3b8a614226a953a8cd9526fca6fe9ba5,215,North West,2RVIC,Rest of Vic.,2,2024-07-11
757b505cfd34c64c85ca5b5690ee5293,201,Ballarat,2RVIC,Rest of Vic.,2,2024-07-11
63dc7ed1010d3c3b8269faf0ba7491d4,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,2024-07-11
b1d10e7bafa4421218a51b1e1f1b0ba2,209,Melbourne - North East,2GMEL,Greater Melbourne,2,2024-07-11
eae27d77ca20db309e056e3d2dcd7d69,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,2024-07-11
091d584fced301b442654dd8c23b3fc9,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,2024-07-11
69adc1e107f7f7d035d7baf04342e1ca,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,2024-07-11
6f3ef77ac0e3619e98159e9b6febf557,210,Melbourne - North West,2GMEL,Greater Melbourne,2,2024-07-11
979d472a84804b9f647bc185a877a8b5,213,Melbourne - West,2GMEL,Greater Melbourne,2,2024-07-11
45fbc6d3e05ebd93369ce542e8f2322d,216,Shepparton,2RVIC,Rest of Vic.,2,2024-07-11
1534b76d325a8f591b52d302e7181331,212,Melbourne - South East,2GMEL,Greater Melbourne,2,2024-07-11
eb163727917cbba1eea208541a643e74,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,2024-07-11
854d6fae5ee42911677c739ee1734486,202,Bendigo,2RVIC,Rest of Vic.,2,2024-07-11
7eabe3a1649ffa2b3ff8c02ebfd5659f,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,2024-07-11
ca46c1b9512a7a8315fa3c5a946e8265,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,2024-07-11
e2c0be24560d78c5e599c2a9c9d0bbd2,203,Geelong,2RVIC,Rest of Vic.,2,2024-07-11
9fd81843ad7f202f26c1a174c7357585,297,Migratory - Offshore - Shipping (Vic.),29799,Migratory - Offshore - Shipping (Vic.),2,2024-07-11
352fe25daf686bdb4edca223c921acea,399,No usual address (Qld),39499,No usual address (Qld),3,2024-07-11
432aca3a1e345e339f35a30c8f65edce,318,Townsville,3RQLD,Rest of Qld,3,2024-07-11
ad13a2a07ca4b7642959dc0c4c740ab6,315,Queensland - Outback,3RQLD,Rest of Qld,3,2024-07-11
b2eb7349035754953b57a32e2841bda5,306,Cairns,3RQLD,Rest of Qld,3,2024-07-11
